District,Status1,Party1,Actual1,Predicted1,Error1,Status2,Party2,Actual2,Predicted2,Error2,Correct,CorrectNum
MI-01,Challenger,R,55.3,51.229,-4.071,Challenger,D,39.7,46.133,6.433,True,10
MI-02,Incumbent,R,62.7,63.814,1.114,Challenger,D,32.4,37.271,4.871,True,10
MI-03,Incumbent,R,59.4,59.334,-0.066,Challenger,D,37.5,40.938,3.438,True,10
MI-04,Incumbent,R,61.6,63.292,1.692,Challenger,D,32.1,37.754,5.654,True,10
MI-05,Incumbent,D,61.2,62.507,1.307,Challenger,R,35.1,38.323,3.223,True,10
MI-06,Incumbent,R,58.6,59.78,1.18,Challenger,D,36.4,40.252,3.852,True,10
MI-07,Incumbent,R,55,57.497,2.497,Challenger,D,40.1,42.573,2.473,True,10
MI-08,Incumbent,R,56,62.587,6.587,Challenger,D,39.2,39.699,0.499,True,10
MI-09,Incumbent,D,57.9,60.482,2.582,Challenger,R,37.4,40.4,3,True,10
MI-10,Challenger,R,63,45.379,-17.621,Challenger,D,32.3,30.763,-1.537,True,10
MI-11,Incumbent,R,52.9,62.444,9.544,Challenger,D,40.2,43.035,2.835,True,10
MI-12,Incumbent,D,64.4,66.79,2.39,Challenger,R,29.2,38.126,8.926,True,10
MI-13,Incumbent,D,77,79.117,2.117,Challenger,R,15.8,24.284,8.484,True,10
MI-14,Incumbent,D,78.5,80.036,1.536,Challenger,R,18.7,24.643,5.943,True,10
MN-01,Incumbent,D,50.4,56.388,5.988,Challenger,R,49.6,43.909,-5.691,True,10
MN-02,Challenger,R,47,43.729,-3.271,Challenger,D,45.2,42.638,-2.562,True,10
MN-03,Incumbent,R,56.9,60.482,3.582,Challenger,D,43.1,39.683,-3.417,True,10
MN-04,Incumbent,D,57.8,64.975,7.175,Challenger,R,34.5,36.319,1.819,True,10
MN-05,Incumbent,D,69.2,71.584,2.384,Challenger,R,22.3,30.007,7.707,True,10
MN-06,Incumbent,R,65.7,55.923,-9.777,Challenger,D,34.3,44.049,9.749,True,10
MN-07,Incumbent,D,52.5,57.451,4.951,Challenger,R,47.5,42.294,-5.206,True,10
MN-08,Incumbent,D,50.3,52.672,2.372,Challenger,R,49.7,47.433,-2.267,True,10
MS-01,Incumbent,R,68.8,65.707,-3.093,Challenger,D,27.8,34.458,6.658,True,10
MS-02,Incumbent,D,66.8,77.463,10.663,Challenger,R,29.4,40.803,11.403,True,10
MS-03,Incumbent,R,66.3,76.964,10.664,Challenger,D,30.3,33.757,3.457,True,10
MS-04,Incumbent,R,65.2,67.705,2.505,Challenger,D,27.7,32.109,4.409,True,10
MO-01,Incumbent,D,75.5,74.55,-0.95,Challenger,R,20,25.78,5.78,True,10
MO-02,Incumbent,R,58.6,68.216,9.616,Challenger,D,37.6,34.4,-3.2,True,10
MO-03,Incumbent,R,67.8,69.023,1.223,Challenger,D,27.9,32.435,4.535,True,10
MO-04,Incumbent,R,67.8,67.645,-0.155,Challenger,D,27.8,33.411,5.611,True,10
MO-05,Incumbent,D,58.4,55.262,-3.138,Challenger,R,38.5,46.313,7.813,True,10
MO-06,Incumbent,R,68.1,68.679,0.579,Challenger,D,28.3,31.938,3.638,True,10
MO-07,Incumbent,R,67.6,69.149,1.549,Challenger,D,27.4,32.567,5.167,True,10
MO-08,Incumbent,R,74.4,71.603,-2.797,Challenger,D,22.7,30.738,8.038,True,10
MT-00,Incumbent,R,56.3,63.119,6.819,Challenger,D,40.5,43.111,2.611,True,10
NE-01,Incumbent,R,69.6,69.543,-0.057,Challenger,D,30.4,32.39,1.99,True,10
NE-02,Challenger,R,49.4,48.906,-0.494,Incumbent,D,47.3,54.947,7.647,False,0
NV-01,Incumbent,D,61.8,59.889,-1.911,Challenger,R,28.8,39.083,10.283,True,10
NV-02,Incumbent,R,58.3,61.773,3.473,Challenger,D,36.9,35.196,-1.704,True,10
NV-03,Challenger,D,47.2,41.963,-5.237,Challenger,R,46,45.485,-0.515,False,0
NV-04,Challenger,D,48.5,47.407,-1.093,Incumbent,R,44.5,56.599,12.099,False,0
NH-01,Challenger,D,44.2,49.379,5.179,Incumbent,R,42.9,51.811,8.911,False,0
NH-02,Incumbent,D,49.8,51.791,1.991,Challenger,R,45.4,47.8,2.4,True,10
NJ-01,Incumbent,D,59.8,65.415,5.615,Challenger,R,36.9,39.486,2.586,True,10
NJ-02,Incumbent,R,59.4,62.352,2.952,Challenger,D,37.1,39.406,2.306,True,10
NJ-03,Incumbent,R,59.5,62.297,2.797,Challenger,D,38.6,40.259,1.659,True,10
NJ-04,Incumbent,R,63.7,64.188,0.488,Challenger,D,33.5,36.726,3.226,True,10
NJ-05,Challenger,D,50.5,40.812,-9.688,Incumbent,R,47.2,61.005,13.805,False,0
NJ-06,Incumbent,D,63,63.318,0.318,Challenger,R,35.7,34.456,-1.244,True,10
NJ-07,Incumbent,R,54.2,61.189,6.989,Challenger,D,43,41.635,-1.365,True,10
NJ-08,Incumbent,D,76.9,73.469,-3.431,Challenger,R,18.6,25.399,6.799,True,10
NJ-09,Incumbent,D,69.6,70.98,1.38,Challenger,R,28.1,26.264,-1.836,True,10
NJ-10,Incumbent,D,85.6,78.698,-6.902,Challenger,R,12,19.895,7.895,True,10
NJ-11,Incumbent,R,58.2,65.135,6.935,Challenger,D,38.7,43.978,5.278,True,10
NJ-12,Incumbent,D,62.6,72.067,9.467,Challenger,R,32.3,34.323,2.023,True,10
NM-01,Incumbent,D,65.1,57.012,-8.088,Challenger,R,34.9,46.483,11.583,True,10
NM-02,Incumbent,R,62.8,57.479,-5.321,Challenger,D,37.2,44.977,7.777,True,10
NM-03,Incumbent,D,62.5,59.031,-3.469,Challenger,R,37.5,43.998,6.498,True,10
NY-01,Incumbent,R,59,62.529,3.529,Challenger,D,41,37.533,-3.467,True,10
NY-02,Incumbent,R,62.4,62.869,0.469,Challenger,D,37.6,36.909,-0.691,True,10
NY-03,Challenger,D,52.4,38.572,-13.828,Challenger,R,47.6,40.734,-6.866,False,0
NY-04,Incumbent,D,59.4,67.622,8.222,Challenger,R,40.6,37.966,-2.634,True,10
NY-05,Incumbent,D,85.5,80.84,-4.66,Challenger,R,13,32.063,19.063,True,10
NY-06,Incumbent,D,71.9,89.069,17.169,Challenger,R,27,25.18,-1.82,True,10
NY-07,Incumbent,D,90.7,86.039,-4.661,Challenger,R,9.3,22.788,13.488,True,10
NY-08,Incumbent,D,93.2,83.928,-9.272,,,0,0,0,True,10
NY-09,Incumbent,D,92.3,81.719,-10.581,,,0,0,0,True,10
NY-10,Incumbent,D,77.5,90.239,12.739,Challenger,R,22.5,21.509,-0.991,True,10
NY-11,Incumbent,R,62.2,62.987,0.787,Challenger,D,36.1,40.63,4.53,True,10
NY-12,Incumbent,D,83,82.899,-0.101,Challenger,R,17,24.835,7.835,True,10
NY-13,Challenger,D,88.8,37.844,-50.956,Challenger,R,6.9,25.074,18.174,True,10
NY-14,Incumbent,D,82.6,86.328,3.728,Challenger,R,17.4,24.739,7.339,True,10
NY-15,Incumbent,D,95.2,91.334,-3.866,Challenger,R,3.6,29.93,26.33,True,10
NY-16,Incumbent,D,94.7,88.032,-6.668,,,0,0,0,True,10
NY-18,Incumbent,D,55.2,57.68,2.48,Challenger,R,44.8,41.835,-2.965,True,10
NY-19,Challenger,R,54.7,40.464,-14.236,Challenger,D,45.3,37.021,-8.279,True,10
NY-20,Incumbent,D,67.6,52.7,-14.9,Challenger,R,32.4,40.919,8.519,True,10
NY-21,Incumbent,R,66.1,77.265,11.165,Challenger,D,29.3,36.242,6.942,True,10
NY-22,Challenger,R,47,52.882,5.882,Challenger,D,40.4,36.268,-4.132,True,10
NY-23,Incumbent,R,58.1,65.587,7.487,Challenger,D,41.9,36.94,-4.96,True,10
NY-24,Incumbent,R,61,64.582,3.582,Challenger,D,39,36.757,-2.243,True,10
NY-25,Incumbent,D,55.8,52.214,-3.586,Challenger,R,44.2,44.554,0.354,True,10
NY-26,Incumbent,D,74.4,60.469,-13.931,Challenger,R,25.6,37.71,12.11,True,10
NY-27,Incumbent,R,67.7,67.975,0.275,Challenger,D,32.3,35.193,2.893,True,10
NC-01,Incumbent,D,68.6,66.753,-1.847,Challenger,R,29,35.294,6.294,True,10
NC-02,Incumbent,R,56.7,64.222,7.522,Challenger,D,43.3,36.547,-6.753,True,10
NC-03,Incumbent,R,67.4,66.525,-0.875,Challenger,D,32.6,34.699,2.099,True,10
NC-04,Incumbent,D,68.2,66.304,-1.896,Challenger,R,31.8,38.093,6.293,True,10
NC-05,Incumbent,R,58.5,64.491,5.991,Challenger,D,41.5,37.456,-4.044,True,10
NC-06,Incumbent,R,59.3,65.636,6.336,Challenger,D,40.7,36.511,-4.189,True,10
NC-07,Incumbent,R,61,67.459,6.459,Challenger,D,39,35.733,-3.267,True,10
NC-08,Incumbent,R,58.8,66.691,7.891,Challenger,D,41.2,36.608,-4.592,True,10
NC-09,Incumbent,R,58.3,73.707,15.407,Challenger,D,41.7,37.268,-4.432,True,10
NC-10,Incumbent,R,63.2,64.329,1.129,Challenger,D,36.8,38.042,1.242,True,10
NC-11,Incumbent,R,64.2,64.24,0.04,Challenger,D,35.8,39.305,3.505,True,10
NC-12,Incumbent,D,67,66.736,-0.264,Challenger,R,33,36.184,3.184,True,10
NC-13,Challenger,R,56.1,40.938,-15.162,Challenger,D,43.9,44.903,1.003,False,0
ND-00,Incumbent,R,69.2,58.609,-10.591,Challenger,D,23.8,43.853,20.053,True,10
OH-01,Incumbent,R,59.6,61.222,1.622,Challenger,D,40.4,40.513,0.113,True,10
OH-02,Incumbent,R,66.6,65.678,-0.922,Challenger,D,33.4,37.296,3.896,True,10
OH-03,Incumbent,D,68.3,62.711,-5.589,Challenger,R,31.7,37.763,6.063,True,10
OH-04,Incumbent,R,68.1,70.326,2.226,Challenger,D,31.9,31.148,-0.752,True,10
OH-05,Incumbent,R,71,69.057,-1.943,Challenger,D,29,32.225,3.225,True,10
OH-06,Incumbent,R,70.6,61.698,-8.902,Challenger,D,29.4,42.142,12.742,True,10
OH-07,Incumbent,R,64.1,72.899,8.799,Challenger,D,28.9,37.259,8.359,True,10
OH-08,Incumbent,R,69,72.934,3.934,Challenger,D,26.8,33.093,6.293,True,10
OH-09,Incumbent,D,68.5,65.663,-2.837,Challenger,R,31.5,35.649,4.149,True,10
OH-10,Incumbent,R,64.4,65.743,1.343,Challenger,D,32.4,36.64,4.24,True,10
OH-11,Incumbent,D,80.1,78.909,-1.191,Challenger,R,19.9,23.754,3.854,True,10
OH-12,Incumbent,R,66.6,65.907,-0.693,Challenger,D,29.9,35.54,5.64,True,10
OH-13,Incumbent,D,67.6,63.623,-3.977,Challenger,R,32.4,36.465,4.065,True,10
OH-14,Incumbent,R,62.7,65.587,2.887,Challenger,D,37.3,36.411,-0.889,True,10
OH-15,Incumbent,R,66.2,63.715,-2.485,Challenger,D,33.8,37.017,3.217,True,10
